id,artist,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
223,"Moulinet, E.",,,,,,,,,,
224,"Ribera, R.",,,,,,,,,,
225,"Madrazo Y Garreta, Ricardo De.",,,,,,,,,,
226,"Murray, Sir David",,,,,,,,,,
227,"Owen, William",,,,,,,,,,
228,"Millet, Jean Franois",,,,,,,,,,
229,"Redgrave, Richard",,,,,,,,,,
230,"Hardy, Frederick Daniel",,,,,,,,,,
231,"Phillips, Hermann",,,,,,,,,,
232,"Palamedes, Anthony",,,,,,,,,,
233,"Munn, George Frederick",,,,,,,,,,
234,"Kiesel, Conrad",,,,,,,,,,
235,"Henner, Jean Jacques",,,,,,,,,,
236,"Pococke, I. (pupil Of Romney)",,,,,,,,,,
237,Plates And Stocks,,,,,,,,,,
238,"Palmer, Samuel",,,,,,,,,,
239,"Pickersgill, Frederick Richard",,,,,,,,,,
240,"Nicol, John Watson",,,,,,,,,,
241,"Pater, Jean Baptiste",,,,,,,,,,
242,"Richmond, George",,,,,,,,,,
243,"Rousseau, Pierre Etienne Theodore",,,,,,,,,,
244,"Scott, Samuel",,,,,,,,,,
245,"Palma, Young, Jacopo Il Giovine, Called",,,,,,,,,,
246,Rosa Di Tivoli (philip Peter Roos),,,,,,,,,,
247,"Jopling, Joseph Middleton",,,,,,,,,,
248,"Johnson, Charles Edward",,,,,,,,,,
249,"Rathbone, John",,,,,,,,,,
250,"Peters, Buonaventura",,,,,,,,,,
251,"Luini, Bernardino",,,,,,,,,,
252,"Memling, Hans",,,,,,,,,,
253,"Piombo, Sebastiano Del",,,,,,,,,,
254,"Moroni, Giovanni Battista",,,,,,,,,,
255,"Hamilton, Gavin",,,,,,,,,,
256,"Maton, B",,,,,,,,,,
257,"Macallum, Hamilton",,,,,,,,,,
258,Patavinus (gaspar Osello),,,,,,,,,,
259,"Ruysdael, Solomon",,,,,,,,,,
260,"Rousseau, Philippe",,,,,,,,,,
261,"Roberts, James",,,,,,,,,,
262,"Lockhart, William Ewart",,,,,,,,,,
263,"Reinagle, Philip",,,,,,,,,,
264,"Paduanino, Padovanino 11 (alessandro Varotari)",,,,,,,,,,
265,"Mctaggart, William",,,,,,,,,,
266,"Lucas, John",,,,,,,,,,
267,"Medina, Sir John Baptiste",,,,,,,,,,
268,"More, Sir Antonio",,,,,,,,,,
269,"Leighton, E. Blair",,,,,,,,,,
270,"Lippi, Filippo",,,,,,,,,,
271,"Morando, Paulo (called Cavazzola)",,,,,,,,,,
272,"Pollajuolo, Antonio",,,,,,,,,,
273,"Masaccio, Tomaso Guidi",,,,,,,,,,
274,"Pott, Laslett John",,,,,,,,,,
275,"Porter, Sir Robert Ker",,,,,,,,,,
276,Lodges' Portraits,,,,,,,,,,
277,"Hubert, Victor",,,,,,,,,,
278,"Lens, Bernard",,,,,,,,,,
279,"Leitch, William Leighton",,,,,,,,,,
280,"Romano, Gulio",,,,,,,,,,
281,"Martin, John",,,,,,,,,,
282,"Hulme, Frederick William",,,,,,,,,,
283,"Powell, Sir Francis",,,,,,,,,,
284,"Overbeck, Friedrich",,,,,,,,,,
285,"Sandby, Paul",,,,,,,,,,
286,"Huysman, Jacob.",,,,,,,,,,
287,"Montalba, Miss Clara",,,,,,,,,,
288,"Nash, Joseph",,,,,,,,,,
289,"Manet, Edouard",,,,,,,,,,
290,"Scharndolph, C.",,,,,,,,,,
291,"Richardson, Jonathan",,,,,,,,,,
292,"Riley, John",,,,,,,,,,
293,"Newton, Alfred Pizzi",,,,,,,,,,
294,"Le Moine, Francois",,,,,,,,,,
295,"Parker, Henry Perlie",,,,,,,,,,
296,Roestrate,,,,,,,,,,
297,"L'hermitte, Leon Augustin",,,,,,,,,,
298,"Koekkoek, Herman P.",,,,,,,,,,
299,"Pynaker, Adam",,,,,,,,,,
300,"Piot, A",,,,,,,,,,
301,"Mercier, Philip",,,,,,,,,,
302,"Lombardi, Giovanni Domenico",,,,,,,,,,
303,"Hanneman, Adrian",,,,,,,,,,
304,"Longhi, Pietro",,,,,,,,,,
305,"Linnell, John Thomas",,,,,,,,,,
306,"Parry, John",,,,,,,,,,
307,"Perotti, Angelica",,,,,,,,,,
308,"Laresse, Gerard. See Lairesse",,,,,,,,,,
309,"Pether, Abraham",,,,,,,,,,
310,"Matsys, Quentin",,,,,,,,,,
311,"Sassoferrato, Giovanni Battista Salvi, Called Il",,,,,,,,,,
312,"Jervas, Or Jarvis, Charles",,,,,,,,,,
313,"Scheffer, Ary",,,,,,,,,,
314,"Luny, Thomas",,,,,,,,,,
315,"Mann, Joshuas S. H.",,,,,,,,,,
316,"Lomax, John A.",,,,,,,,,,
317,"Ibbetson, Julius Caesar",,,,,,,,,,
318,"Hayes,edwin, R.H.A.",,,,,,,,,,
319,"Humphry, Ozias",,,,,,,,,,
320,"Leslie, George Dunlop",,,,,,,,,,
321,"Paret, Luis Y Alcazar",,,,,,,,,,
322,"Hilliard, Nicholas",,,,,,,,,,
323,"Oliver, Peter",,,,,,,,,,
324,"Mile, Francisco",,,,,,,,,,
325,"Momper, Josse De.",,,,,,,,,,
326,"Schweickhardt, Heindrich Wilhelm",,,,,,,,,,
327,"Moreau, Clement",,,,,,,,,,
328,"Monet, Claude",,,,,,,,,,
329,"Neuhuys, Albert",,,,,,,,,,
330,"Oliver, Isaac",,,,,,,,,,
331,"Mill, Francisque",,,,,,,,,,
332,Miniatures,,,,,,,,,,
333,"Lambert, Mrs.",,,,,,,,,,
334,"Jongkind, Johan Barthold",,,,,,,,,,
335,"Schlesinger, Henry Guillaume",,,,,,,,,,
336,"Pantaxa, Juan",,,,,,,,,,
337,"Lairesse, Gerard",,,,,,,,,,
338,Phillips,,,,,,,,,,
339,"Huet, Jean Baptiste.",,,,,,,,,,
340,"Harpignies, Henri.",,,,,,,,,,
341,"Mazzolino, Ludovico Ferrara",,,,,,,,,,
342,"Perugini, Charles Edward",,,,,,,,,,
343,"Honthorst, Gerard",,,,,,,,,,
344,"Janet, Francois (called Clouet)",,,,,,,,,,
345,"Lucatelli, Andrea",,,,,,,,,,
346,"Omeganck, Balthazar Paul",,,,,,,,,,
347,"Pinwell, George John",,,,,,,,,,
348,"Pickersgill, Henry William",,,,,,,,,,
349,"Ladbrooke, Robert",,,,,,,,,,
350,"Leyden, Lucas Van",,,,,,,,,,
351,"Kirk, Thomas",,,,,,,,,,
352,"Louard, J. D.",,,,,,,,,,
353,Lefebre,,,,,,,,,,
354,"Hennessy, William J.",,,,,,,,,,
355,"Nicholson, Francis",,,,,,,,,,
356,"Jordaens, Jacob",,,,,,,,,,
357,"Lippi, Filippino",,,,,,,,,,
358,"Landseer, Charles",,,,,,,,,,
359,"Joanowitsch, Paul",,,,,,,,,,
360,"Melin, Joseph",,,,,,,,,,
361,"Mainardi, Bastiano",,,,,,,,,,
362,"Lampi, Johann Baptiste Von.",,,,,,,,,,
363,"Sanman, Enoch",,,,,,,,,,
364,"Heilbuth, Ferdinand",,,,,,,,,,
365,"Schiavoni, Andrea Medula, Called Il",,,,,,,,,,
366,Nicola Di Liberatori,,,,,,,,,,
367,"Hamza, Johann",,,,,,,,,,
368,"Ribot, E.",,,,,,,,,,
369,"Houghton, Arthur Boyd",,,,,,,,,,
370,"Janssens, Hieronymus",,,,,,,,,,
371,"Ryckaert, David",,,,,,,,,,
372,Paterre,,,,,,,,,,
373,"Reid, John R.",,,,,,,,,,
374,"Rothwell, Richard",,,,,,,,,,
375,"Knaus, Ludwig",,,,,,,,,,
376,"Nesfield, William Andrews",,,,,,,,,,
